Timestamp start: 1747232587461
Timestamp end: 1747234387749

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      238.6   222.8    54.7   102.4   112.5   193.6   251.1   284.5   308.3   336.0   372.0   436.0  1016.5  3061.1  4718.0 116419.4   116582
read      201.3   131.5    59.1    98.9   113.1   193.7   218.2   231.0   240.2   251.5   267.3   295.3   463.2  1831.3  3259.2  13790.8    13888
read      380.1   376.8    59.1   108.3   120.8   277.8   395.4   470.6   530.8   605.2   722.6   957.3  1858.7  3884.0  7780.3 118998.0   119224
read      240.4   174.5    59.1   110.0   121.5   201.7   253.8   288.0   313.0   341.7   379.7   454.3   812.6  2168.3  4365.1 156149.8   156471
read      247.1   174.3    50.7   112.5   125.3   207.2   259.2   293.6   319.0   348.4   388.8   466.4   905.9  2049.9  4126.9 164302.4   164013
read      235.9   164.4    59.1    99.8   110.6   222.8   266.2   288.6   305.4   325.5   352.5   397.8   631.1  2343.0  4490.2  41887.2    41909
read      322.2   364.5    59.1   107.0   118.4   219.5   300.4   353.2   398.3   470.3   596.8   850.0  1897.7  3915.4  7732.7 128473.6   128280
read      217.2   146.8    54.7   100.1   109.5   186.9   244.6   275.4   296.8   320.3   349.3   394.8   542.7  1862.0  3723.0 106917.2   107066
read      241.4   175.3    59.1    99.4   110.2   224.3   271.5   296.0   314.0   335.6   363.8   409.5   749.3  2419.5  4010.7  46037.4    46119
read      195.0   121.1    59.1    96.4   110.3   184.7   207.6   220.0   229.3   240.2   255.7   288.3   685.9  1385.0  3389.9  10237.8    10227
read      195.5   136.0    59.1    97.6   111.7   186.6   209.3   221.4   230.5   241.6   256.5   284.7   484.0  2310.3  3638.2  10832.0    10870
read      284.5   241.1    54.7   110.2   122.1   218.3   290.2   335.1   369.7   419.7   507.3   682.2  1135.8  2436.4  5946.4 146611.4   146664
read      212.8   124.7    59.1   102.3   114.9   207.1   233.2   247.7   258.1   271.2   290.3   323.8   466.5  1313.3  4319.5  19912.4    19865
read      346.8   371.0    59.1   105.3   116.5   237.1   332.2   396.5   455.6   539.9   673.1   936.9  1935.9  3831.5  7468.9 113481.8   113409
read      219.0   117.2    54.7    98.5   108.6   206.8   259.6   284.1   300.5   318.8   341.9   374.8   450.7  1077.1  3929.8  70689.0    70623
read      219.6    90.9    54.7    99.1   109.3   217.2   263.8   285.3   299.6   316.1   336.6   366.3   425.1   507.9  1424.1  52528.8    52633
read      211.9   110.2    50.7    99.3   109.3   191.2   245.6   274.3   293.5   314.7   340.8   380.0   463.7   640.9  2957.5 104952.8   104630
read      215.3    91.7    54.7   100.1   110.6   217.6   255.7   272.9   285.3   298.4   316.3   342.9   398.6   542.5  1950.5  42588.4    42594
read      210.3   115.6    50.7    98.6   108.3   191.8   246.9   273.9   291.6   311.1   335.2   371.0   448.1   604.8  3509.4  95196.8    95196
read      216.2    95.9    50.7    99.3   109.6   214.5   257.7   277.1   291.0   307.0   326.3   355.9   418.1   545.1  2695.1  52139.2    52243
read      213.3    79.0    59.1   100.3   110.7   217.8   252.5   268.8   280.0   292.9   310.0   335.5   387.8   472.3  1412.0  37069.6    37031
