Timestamp start: 1747094973162
Timestamp end: 1747096773491

##type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      258.4   168.6    63.8   106.3   118.1   207.7   273.8   314.8   345.6   390.4   457.0   587.2   882.4  1271.3  2463.8 129590.0   129587
read      199.6    85.3    68.9   124.0   136.7   192.5   216.2   230.0   240.1   252.9   269.3   293.7   346.5   486.6  2706.5  10314.4    10277
read      285.9   204.2    63.8   112.0   125.2   221.9   292.5   340.2   381.0   436.2   526.7   694.3  1060.7  1536.2  3180.5 148318.9   148458
read      213.9   107.7    63.8   101.9   112.7   201.8   250.7   273.9   289.6   307.4   329.0   363.1   433.6   540.0  2108.1  66185.3    66114
read      227.4   100.3    63.8   101.9   114.1   217.6   266.9   291.0   307.8   326.7   350.4   391.7   464.8   580.6  1848.7  49195.7    49261
read      225.4   132.8    63.8   104.7   115.6   191.3   241.6   274.5   298.6   327.0   365.6   434.7   712.2  1230.7  2471.7 132920.7   133049
read      206.4    91.6    63.8   100.3   110.6   184.6   234.0   264.3   284.3   306.3   332.6   371.9   454.0   567.5  1249.7 106696.4   106628
read      216.1    85.2    68.9   111.2   126.4   211.4   243.9   261.7   273.6   288.3   306.7   335.3   400.7   530.9  3296.9  23498.4    23498
read      213.6   128.1    63.8   101.4   111.8   190.3   242.2   272.5   293.0   315.8   343.2   388.8   472.2   634.3  3298.8 103454.3   103564
read      234.0   113.8    63.8   114.4   127.9   206.8   253.9   285.3   309.5   338.7   377.9   438.5   574.4   833.8  1897.9 161837.6   161774
read      227.8   148.1    63.8   105.1   118.4   220.2   263.7   285.2   299.7   316.8   338.6   373.5   453.1   579.2  9746.7  38999.4    39037
read      280.4   183.6    63.8   117.7   132.5   230.5   294.5   337.4   371.8   416.9   481.5   609.9   937.6  1464.6  3005.2 163754.7   163622
read      215.8   168.2    63.8   106.0   117.2   190.7   236.2   267.0   288.9   313.9   344.4   395.1   495.8   699.6  3750.3 132494.5   132405
read      214.8   102.7    63.8   105.0   116.1   190.6   237.2   267.6   289.4   314.5   345.5   397.0   500.6   686.5  1731.8 131567.0   131596
read      254.6   150.6    63.8   120.0   134.8   222.9   274.4   308.6   335.0   368.1   412.2   483.4   670.9  1128.0  3503.5 174580.6   174543
read      207.1   129.1    63.8    98.9   109.1   187.2   238.2   266.4   284.8   305.0   329.0   365.5   442.7   556.4  3083.5  90453.7    90567
read      205.9   155.9    63.8   100.4   110.4   181.9   229.7   259.5   280.3   303.5   331.2   371.4   458.8   594.1 10937.9 116618.9   116582
read      205.1   257.4    63.8   117.2   130.5   193.2   217.9   231.7   242.5   255.3   272.0   296.3   356.9   972.6 11447.3  13865.8    13888
read      222.6   110.5    63.8   103.2   114.2   196.5   249.6   281.1   303.2   329.1   363.5   421.5   546.0   796.0  1704.6 119086.0   119224
read      223.1   106.4    63.8   111.1   123.2   198.0   242.8   272.4   295.1   322.0   358.5   414.5   528.7   730.2  2360.1 156426.0   156471
read      235.1   123.1    63.8   114.1   127.7   207.9   255.4   287.0   311.1   340.5   379.9   439.8   574.7   834.9  3273.4 164132.4   164013
read      226.5   154.3    63.8   104.3   117.1   218.0   261.8   283.8   298.5   316.1   338.2   372.3   451.2   611.4 10082.6  41897.5    41909
read      233.4   147.2    63.8   104.8   115.9   194.8   247.7   282.1   307.2   336.9   379.5   469.1   798.3  1313.8  3010.3 128192.4   128280
read      209.5   123.1    63.8   100.9   111.2   186.5   235.4   265.8   286.3   309.1   336.7   377.4   465.8   629.5  2990.2 107081.5   107066
read      227.0    94.5    63.8   102.9   115.5   218.7   266.1   289.4   305.4   323.1   345.6   383.7   459.8   585.9  1665.8  46087.4    46119
read      200.1   202.6    68.9   121.3   133.8   189.6   213.4   226.7   235.6   249.2   266.2   291.1   346.1   622.8 11044.9  10207.6    10227
read      200.5    63.8    63.8   121.7   135.4   194.5   219.0   232.7   243.3   255.3   271.8   295.4   351.5   463.0  2247.4  10833.0    10870
read      258.8   174.1    63.8   109.8   122.0   208.2   267.0   305.8   336.2   376.0   440.5   584.1   965.4  1512.7  2279.5 146427.7   146664
read      214.3    88.0    63.8   113.8   128.9   210.0   240.0   257.3   269.3   283.1   299.5   326.7   387.3   508.9  2868.9  19794.1    19865
read      216.9   103.5    63.8   102.3   113.2   193.1   243.9   274.6   296.2   320.4   351.3   400.6   502.8   717.8  1769.3 113362.8   113409
read      212.1   126.8    59.1   100.8   111.5   198.5   247.0   271.9   288.2   306.1   327.4   360.4   432.4   561.0  2751.3  70578.5    70623
read      225.3    98.7    63.8   101.6   113.5   215.5   264.2   288.9   305.9   324.8   348.2   386.4   463.7   571.5  1912.0  52654.6    52633
read      214.8   105.2    63.8   101.1   111.8   192.3   243.6   274.0   294.8   317.9   346.5   393.4   485.7   635.2  2257.4 104790.3   104630
